converged SCF energy = -154.531236020509  <S^2> = 1.0128122  2S+1 = 2.2474984
 ** Mulliken Spin Density (per AO)  **
spin_pop of  2 C 4f+3     -0.00013
spin_pop of  2 C 5f-3     -0.00128
spin_pop of  2 C 5f-2      0.00033
spin_pop of  2 C 5f-1     -0.00128
spin_pop of  2 C 5f+0     -0.00020
spin_pop of  2 C 5f+1     -0.00007
spin_pop of  2 C 5f+2     -0.00030
spin_pop of  2 C 5f+3     -0.00041
spin_pop of  2 C 5g-4     -0.00008
spin_pop of  2 C 5g-3     -0.00000
spin_pop of  2 C 5g-2     -0.00001
spin_pop of  2 C 5g-1     -0.00008
spin_pop of  2 C 5g+0     -0.00001
spin_pop of  2 C 5g+1     -0.00001
spin_pop of  2 C 5g+2     -0.00001
spin_pop of  2 C 5g+3     -0.00003
spin_pop of  2 C 5g+4      0.00000
spin_pop of  3 C 1s        0.00160
spin_pop of  3 C 2s       -0.00067
spin_pop of  3 C 3s       -0.00746
spin_pop of  3 C 4s       -0.03860
spin_pop of  3 C 5s       -0.01054
spin_pop of  3 C 2px      -0.00294
spin_pop of  3 C 2py      -0.05356
spin_pop of  3 C 2pz      -0.00304
spin_pop of  3 C 3px      -0.00899
spin_pop of  3 C 3py      -0.16480
spin_pop of  3 C 3pz      -0.00933
spin_pop of  3 C 4px      -0.01817
spin_pop of  3 C 4py      -0.23007
spin_pop of  3 C 4pz      -0.01851
spin_pop of  3 C 5px      -0.00659
spin_pop of  3 C 5py      -0.11907
spin_pop of  3 C 5pz      -0.00688
spin_pop of  3 C 3dxy      0.00015
spin_pop of  3 C 3dyz      0.00013
spin_pop of  3 C 3dz^2     0.00007
spin_pop of  3 C 3dxz      0.00003
spin_pop of  3 C 3dx2-y2    0.00015
spin_pop of  3 C 4dxy      0.00298
spin_pop of  3 C 4dyz      0.00269
spin_pop of  3 C 4dz^2     0.00061
spin_pop of  3 C 4dxz      0.00037
spin_pop of  3 C 4dx2-y2    0.00110
